"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date","Response Time","Execution Time"
"TestSuite1","TC_Login","TC_Login","groovy","PASS","NA","08-Aug-2024","4.736","10.446",
"TestSuite1","TC_Logout","TC_Logout","groovy","PASS","NA","08-Aug-2024","4.937","10.358",
